,0,1,2
9767,Zach,Britton,/ Zack Britton (Grant)
9774,Joe,Ross,(Andrew)
9778,William,Davis,/ Rookie Davis
9780,Rayan,Gonzalez,(b. 1990-10-18)
9786,Steven,Souza,Jr.
9789,Eduardo,Rodriguez,(Jos̩)
9819,Jose,De,Leon (Eugenio)
9836,Justin,Turner,(Matthew)
9843,Will,Smith,(Michael)
9845,Giovanny,Urshela,/ Gio Urshela
9852,David,Wright,(Allen)
9859,Mark,Leiter,Jr.
9863,Ricardo,Rodriguez,(Jose) / Ricky Rodriguez
9868,Marco,Hernandez,(Antonio)
9872,David,Hernandez,(Jose)
9876,Jeff,Hoffman,(Robert)
9880,Raul,Mondesi,(Adalberto) / Adalberto Mondesi
9897,Delino,DeShields,Jr.
9909,Nelson,Cruz,(Ramon)
9912,Yulieski,Gurriel,/ Yuli Gurriel
9929,Herschel,Powell,/ Boog Powell
9938,Brad,Miller,(Austin)
9953,Adam,Eaton,(Cory)
9979,Manuel,Pina,/ Manny Pina
9990,Matt,Duffy,(Michael)
9998,Jose,Ramirez,(Altagracia)
9999,Rich,Hill,(Joseph)
10033,Carlos,Gonzalez,(Eduardo)
10034,Miguel,Gonzalez,(Angel)
10040,Blake,Wood,(Daniel)
10058,Andrew,Miller,(Mark)
10074,Johnathan,Williamson,/ Mac Williamson
10107,Chris,Martin,(Riley)
10115,Hyun,Jin,Ryu / Hyun-Jin Ryu
10123,(Jose),Miguel,Cabrera
10138,Drew,Robinson,(Elliott)
10142,Johnathan,Williamson,/ Mac Williamson
10150,(William),Alex,Wilson
10152,Jordan,Zimmermann,(M.)
10166,Carlos,Martinez,(Ernesto)
10187,Ryan,Zimmerman,(Wallace)
10190,Robert,Anderson,/ Chase Anderson
10198,Hector,Velazquez,(b. 1988-11-26)
10219,Carlos,Gomez,(Argelis)
10223,Ryan,Braun,(Joseph)
10228,Jaime,Garcia,(Omar)
10229,Matthew,Bowman,/ Matt Bowman
10238,Brett,Anderson,(Franklin)
10252,Rich,Hill,(Joseph)
10261,Steven,Souza,Jr.
10262,Jose,Valdez,(Alfredo)
10263,Dee,Strange-Gordon,/ Dee Gordon
10288,Andrew,Miller,(Mark)
10298,Ronald,Acuna,Jr.
10300,Wilmer,Flores,(Alejandro)
10315,Carl,Edwards,Jr. / C.J. Edwards
10322,Pedro,Florimon,Jr.
10343,Markus,Betts,/ Mookie Betts
10357,Jorge,De,La Rosa
10406,Richard,Rodriguez,(Agustin)
10407,Mike,Dunn,(Glen)
10416,Joe,Smith,(Michael)
10423,Daniel,Robertson,(Roger)
10436,(Jose),Miguel,Cabrera
